f1,Mean,2.09E04
 ,SD,2.28E03
f2,Mean,1.62E08
 ,SD,8.78E07
f3,Mean,1.23E12
 ,SD,2.20E12
f4,Mean,7.52E04
 ,SD,1.12E04
f5,Mean,1.80E04
 ,SD,8.43E03
f6,Mean,2.14E03
 ,SD,2.82E02
f7,Mean,6.89E02
 ,SD,7.28E02
f8,Mean,2.10E01
 ,SD,5.78E-02
f9,Mean,3.11E01
 ,SD,1.64E00
f10,Mean,2.67E03
 ,SD,5.65E02
f11,Mean,4.16E02
 ,SD,7.19E01
f12,Mean,3.43E02
 ,SD,2.53E01
f13,Mean,3.68E02
 ,SD,7.68E01
f14,Mean,5.60E03
 ,SD,5.92E02
f15,Mean,6.13E03
 ,SD,5.51E02
f16,Mean,2.13E00
 ,SD,4.82E-01
f17,Mean,4.65E02
 ,SD,8.05E01
f18,Mean,4.72E02
 ,SD,3.64E01
f19,Mean,6.61E04
 ,SD,3.69E04
f20,Mean,1.33E01
 ,SD,1.60E-01
f21,Mean,2.03E03
 ,SD,1.64E02
f22,Mean,5.12E03
 ,SD,3.68E02
f23,Mean,7.74E03
 ,SD,6.21E02
f24,Mean,2.94E02
 ,SD,7.37E00
f25,Mean,3.02E02
 ,SD,3.87E00
f26,Mean,3.35E02
 ,SD,7.03E01
f27,Mean,1.15E03
 ,SD,9.15E01
f28,Mean,3.65E03
 ,SD,5.18E02
